Player,AT14 Combat Model,AT14 Manage Model,AT14 Diff Model,AF14 Combat Model,AF14 Manage Model,AF14 Diff Model,로지스틱 회귀 - Combat Model Accuracy,로지스틱 회귀 - Manage Model Accuracy,로지스틱 회귀 - Diff Model Accuracy,로지스틱 회귀 - AF14 Combat Model Accuracy,로지스틱 회귀 - AF14 Manage Model Accuracy,로지스틱 회귀 - AF14 Diff Model Accuracy
龙宫公主,0.7931034482758621,0.8620689655172413,0.7931034482758621,0.6379310344827587,0.6551724137931034,0.6206896551724138,,,,,,
너는 나의 자존심,0.7254901960784313,0.7647058823529411,0.6666666666666666,0.5294117647058824,0.6666666666666666,0.5686274509803921,,,,,,
덕소리,0.46774193548387094,0.41935483870967744,0.45161290322580644,0.532258064516129,0.4838709677419355,0.5161290322580645,,,,,,
도파민,0.78125,0.828125,0.734375,0.640625,0.671875,0.671875,,,,,,
땅굴팀 미드,0.4838709677419355,0.3870967741935484,0.3870967741935484,0.4838709677419355,0.45161290322580644,0.4838709677419355,,,,,,
리 칠,0.45098039215686275,0.5490196078431373,0.5294117647058824,0.5490196078431373,0.5490196078431373,0.49019607843137253,,,,,,
리하우급 누누,0.7068965517241379,0.7413793103448276,0.7758620689655172,0.6206896551724138,0.6551724137931034,0.6379310344827587,,,,,,
마리골드,0.6415094339622641,0.660377358490566,0.6415094339622641,0.6226415094339622,0.5849056603773585,0.5849056603773585,,,,,,
무적코털 보보보,0.7333333333333333,0.7,0.7,0.7,0.7,0.7,,,,,,
베인의 여왕 류하린,0.6376811594202898,0.6666666666666666,0.5942028985507246,0.5507246376811594,0.5652173913043478,0.5797101449275363,,,,,,
소나기,0.68,0.66,0.7,0.56,0.56,0.54,,,,,,
소울이강철멘탈1,0.6530612244897959,0.7142857142857143,0.8163265306122449,0.5918367346938775,0.5714285714285714,0.5918367346938775,,,,,,
쏘 테,0.7068965517241379,0.6379310344827587,0.7413793103448276,0.5517241379310345,0.5517241379310345,0.5689655172413793,,,,,,
안강최,0.6896551724137931,0.8103448275862069,0.7586206896551724,0.6206896551724138,0.603448275862069,0.6379310344827587,,,,,,
우와앙,0.4230769230769231,0.4423076923076923,0.4807692307692308,0.4423076923076923,0.4423076923076923,0.4807692307692308,,,,,,
위너팀 Mid,0.42105263157894735,0.5,0.4473684210526316,0.47368421052631576,0.47368421052631576,0.47368421052631576,,,,,,
위너팀 미드2,0.5555555555555556,0.6111111111111112,0.6296296296296297,0.5740740740740741,0.5370370370370371,0.5555555555555556,,,,,,
위너팀 주지태,0.5428571428571428,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.5714285714285714,0.4857142857142857,,,,,,
위너팀 판테온,0.6461538461538462,0.6153846153846154,0.6,0.5538461538461539,0.5384615384615384,0.6,,,,,,
으 악,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.38461538461538464,,,,,,
이쁜 오르트구름,0.532258064516129,0.5161290322580645,0.4838709677419355,0.5483870967741935,0.5,0.5161290322580645,,,,,,
인스타팔로우좀요,0.7659574468085106,0.7446808510638298,0.8723404255319149,0.6170212765957447,0.6170212765957447,0.6170212765957447,,,,,,
제우스팀 에코,0.7796610169491526,0.7966101694915254,0.847457627118644,0.6779661016949152,0.6610169491525424,0.6779661016949152,,,,,,
제우스팀 제리,0.4838709677419355,0.4032258064516129,0.46774193548387094,0.5,0.46774193548387094,0.46774193548387094,,,,,,
쫀 지,0.5294117647058824,0.5294117647058824,0.49019607843137253,0.5098039215686274,0.5490196078431373,0.5686274509803921,,,,,,
쾌감절정능욕매끈야들가련청순발육,0.543859649122807,0.47368421052631576,0.5614035087719298,0.5263157894736842,0.5263157894736842,0.5087719298245614,,,,,,
탈리얌,0.7857142857142857,0.7142857142857143,0.6785714285714286,0.5714285714285714,0.5892857142857143,0.5535714285714286,,,,,,
포뇨의 눈,0.5441176470588235,0.5294117647058824,0.5588235294117647,0.5147058823529411,0.5588235294117647,0.5441176470588235,,,,,,
황혼우주자야,0.6,0.4909090909090909,0.6,0.5272727272727272,0.5454545454545454,0.509090909090909,,,,,,
龙宫公主,,,,,,,0.6379310344827587,0.7068965517241379,0.7413793103448276,0.9310344827586207,0.9482758620689655,0.9827586206896551
너는 나의 자존심,,,,,,,0.7450980392156863,0.7058823529411765,0.6862745098039216,0.8235294117647058,0.803921568627451,0.9019607843137255
덕소리,,,,,,,0.7419354838709677,0.7258064516129032,0.7580645161290323,0.8709677419354839,0.8548387096774194,0.9193548387096774
도파민,,,,,,,0.734375,0.6875,0.71875,0.90625,0.90625,0.90625
땅굴팀 미드,,,,,,,0.8709677419354839,0.5806451612903226,0.6451612903225806,0.9354838709677419,0.9032258064516129,0.9354838709677419
리 칠,,,,,,,0.7450980392156863,0.6470588235294118,0.7058823529411765,0.803921568627451,0.8431372549019608,0.8627450980392157
리하우급 누누,,,,,,,0.7241379310344828,0.6551724137931034,0.6896551724137931,0.9137931034482759,0.8793103448275862,0.9310344827586207
마리골드,,,,,,,0.7358490566037735,0.7547169811320755,0.6226415094339622,0.9056603773584906,0.8679245283018868,0.9811320754716981
무적코털 보보보,,,,,,,0.8,0.8333333333333334,0.9,0.9666666666666667,0.8333333333333334,0.9666666666666667
베인의 여왕 류하린,,,,,,,0.5652173913043478,0.6811594202898551,0.6666666666666666,0.855072463768116,0.8695652173913043,0.9130434782608695
소나기,,,,,,,0.68,0.54,0.62,0.92,0.8,0.94
소울이강철멘탈1,,,,,,,0.7142857142857143,0.6530612244897959,0.5918367346938775,0.8571428571428571,0.8775510204081632,0.9387755102040817
쏘 테,,,,,,,0.6896551724137931,0.6206896551724138,0.5862068965517241,0.9482758620689655,0.9137931034482759,0.9655172413793104
안강최,,,,,,,0.7241379310344828,0.7068965517241379,0.6551724137931034,0.9310344827586207,0.8793103448275862,0.9137931034482759
우와앙,,,,,,,0.7307692307692307,0.6346153846153846,0.6346153846153846,0.9423076923076923,0.8269230769230769,0.9038461538461539
